study,timepoint,contrast,direction,klass,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
ELICIT,5 mo.,Nico+Az.,down,metabolite,Bile Acid Biosynthesis,14,0.0424,1,0.0418,0.512,-23.58490566037736
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.0444,1,0.0437,0.134,-22.52252252252252
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Purine Metabolism,4,0.0444,1,0.0437,0.134,-22.52252252252252
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Beta-Alanine Metabolism,4,0.0444,1,0.0437,0.186,-22.52252252252252
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.0444,1,0.0437,0.186,-22.52252252252252
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Purine Metabolism,4,0.0444,1,0.0437,0.186,-22.52252252252252
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Tryptophan Metabolism,4,0.0444,1,0.0437,0.186,-22.52252252252252
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Spermidine and Spermine Biosynthesis,4,0.0444,1,0.0437,0.186,-22.52252252252252
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Carnitine Synthesis,4,0.0444,1,0.0437,0.186,-22.52252252252252
MISAME-III,1-2 mo.,IFA/BEP,down,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.0444,1,0.0437,0.536,-22.52252252252252
MISAME-III,1-2 mo.,IFA/BEP,down,metabolite,Tryptophan Metabolism,4,0.0444,1,0.0437,0.536,-22.52252252252252
MISAME-III,14-21 days,BEP,down,metabolite,Histidine Metabolism,5,0.0454,1,0.0447,0.23,-22.026431718061673
MISAME-III,14-21 days,BEP,down,metabolite,Urea Cycle,5,0.0454,1,0.0447,0.23,-22.026431718061673
MISAME-III,14-21 days,BEP,down,metabolite,Glutamate Metabolism,5,0.0454,1,0.0447,0.23,-22.026431718061673
MISAME-III,1-2 mo.,BEP,down,metabolite,Urea Cycle,5,0.0454,1,0.0447,0.219,-22.026431718061673
MISAME-III,1-2 mo.,BEP,down,metabolite,Glutamate Metabolism,5,0.0454,1,0.0447,0.219,-22.026431718061673
MISAME-III,3-4 mo.,BEP,down,metabolite,Urea Cycle,5,0.0454,1,0.0447,0.365,-22.026431718061673
MISAME-III,3-4 mo.,BEP,down,metabolite,Glutamate Metabolism,5,0.0454,1,0.0447,0.365,-22.026431718061673
Mumta-LW,1.5 mo.,BEP,down,metabolite,Glycine and Serine Metabolism,9,0.0454,1,0.0447,1,-22.026431718061673
ELICIT,1 mo.,Nico,down,metabolite,Glutamate Metabolism,5,0.0454,1,0.0447,0.313,-22.026431718061673
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,metabolite,Glycine and Serine Metabolism,9,0.0454,1,0.0447,0.398,22.026431718061673
Mumta-LW,2 mo.,BEP,down,metabolite,Arginine and Proline Metabolism,8,0.0484,1,0.0476,0.389,-20.66115702479339
MISAME-III,3-4 mo.,BEP/BEP,down,metabolite,Arginine and Proline Metabolism,8,0.0484,1,0.0476,0.933,-20.66115702479339
MISAME-III,3-4 mo.,BEP/BEP,down,metabolite,Methionine Metabolism,8,0.0484,1,0.0476,0.933,-20.66115702479339
ELICIT,5 mo.,Az.,down,metabolite,Aspartate Metabolism,6,0.0484,1,0.0476,0.259,-20.66115702479339
MISAME-III,3-4 mo.,IFA/BEP,down,metabolite,Glutamate Metabolism,5,0.0505,1,0.0495,0.373,-19.8019801980198
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,metabolite,Urea Cycle,5,0.0505,1,0.0495,0.486,-19.8019801980198
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Urea Cycle,5,0.0555,1,0.0544,0.222,-18.01801801801802
MISAME-III,1-2 mo.,IFA/BEP,down,metabolite,Urea Cycle,5,0.0555,1,0.0544,0.592,-18.01801801801802
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,Arginine and Proline Metabolism,8,0.0565,1,0.0553,0.387,17.699115044247787
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,Methionine Metabolism,8,0.0565,1,0.0553,0.387,17.699115044247787
ELICIT,1 mo.,Az.,down,metabolite,Arginine and Proline Metabolism,8,0.0565,1,0.0553,0.361,-17.699115044247787
ELICIT,1 mo.,Az.,down,metabolite,Methionine Metabolism,8,0.0565,1,0.0553,0.361,-17.699115044247787
ELICIT,1 mo.,Nico,down,metabolite,Arginine and Proline Metabolism,8,0.0565,1,0.0553,0.452,-17.699115044247787
ELICIT,1 mo.,Nico,down,metabolite,Methionine Metabolism,8,0.0565,1,0.0553,0.452,-17.699115044247787
ELICIT,5 mo.,Nico,down,metabolite,Methionine Metabolism,8,0.0565,1,0.0553,0.76,-17.699115044247787
MISAME-III,1-2 mo.,BEP/IFA,up,metabolite,Bile Acid Biosynthesis,14,0.0565,1,0.0554,0.776,17.699115044247787
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,metabolite,Bile Acid Biosynthesis,14,0.0565,1,0.0554,1,-17.699115044247787
MISAME-III,1-2 mo.,IFA/BEP,down,lipid,Sphingolipid Metabolism,6,0.0603,1,0.059,1,-16.58374792703151
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,Glycine and Serine Metabolism,9,0.0636,1,0.062,0.405,15.723270440251572
ELICIT,1 mo.,Az.,down,metabolite,Glycine and Serine Metabolism,9,0.0636,1,0.062,0.38,-15.723270440251572
ELICIT,1 mo.,Nico,down,metabolite,Glycine and Serine Metabolism,9,0.0636,1,0.062,0.468,-15.723270440251572
ELICIT,5 mo.,Nico,down,metabolite,Glycine and Serine Metabolism,9,0.0636,1,0.062,0.76,-15.723270440251572
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Aspartate Metabolism,6,0.0666,1,0.0649,0.193,-15.015015015015011
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Aspartate Metabolism,6,0.0666,1,0.0649,0.255,-15.015015015015011
MISAME-III,1-2 mo.,BEP,down,lipid,Sphingolipid Metabolism,6,0.0724,1,0.0704,1,-13.812154696132596
MISAME-III,1-2 mo.,BEP/BEP,down,lipid,Sphingolipid Metabolism,6,0.0724,1,0.0704,1,-13.812154696132596
MISAME-III,14-21 days,BEP,down,metabolite,Methionine Metabolism,8,0.0727,1,0.0706,0.346,-13.75515818431912
MISAME-III,3-4 mo.,BEP,down,metabolite,Arginine and Proline Metabolism,8,0.0727,1,0.0706,0.532,-13.75515818431912
ELICIT,1 mo.,Nico,down,metabolite,Arginine and Proline Metabolism,8,0.0727,1,0.0706,0.433,-13.75515818431912
ELICIT,1 mo.,Nico,down,metabolite,Methionine Metabolism,8,0.0727,1,0.0706,0.433,-13.75515818431912
MISAME-III,3-4 mo.,IFA/BEP,down,metabolite,Arginine and Proline Metabolism,8,0.0807,1,0.0782,0.547,-12.391573729863694
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,metabolite,Arginine and Proline Metabolism,8,0.0807,1,0.0782,0.697,-12.391573729863694
ELICIT,1 mo.,Nico,down,metabolite,Glycine and Serine Metabolism,9,0.0817,1,0.0791,0.456,-12.239902080783354
MISAME-III,1-2 mo.,IFA/BEP,down,metabolite,Methionine Metabolism,8,0.0888,1,0.0857,0.84,-11.26126126126126
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,metabolite,Glycine and Serine Metabolism,9,0.0908,1,0.0876,0.715,-11.013215859030836
ELICIT,1 mo.,Nico+Az.,down,metabolite,Bile Acid Biosynthesis,14,0.0989,1,0.0951,0.333,-10.111223458038422
MISAME-III,1-2 mo.,IFA/BEP,down,metabolite,Glycine and Serine Metabolism,9,0.0999,1,0.0959,0.855,-10.01001001001001
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,metabolite,Bile Acid Biosynthesis,14,0.141,1,0.133,1,-7.092198581560284
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Bile Acid Biosynthesis,14,0.155,1,0.146,0.549,-6.451612903225807
