Pathway,Overlap Size,Pathway Size,Enrichment Ratio,P-value,FDR,Study,Time Point,Contrast,Regulation,Ionization Mode
Fructose and mannose metabolism,8,31,0.258,0.239811780522645,0.749012688009411,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Negative
Putative anti-Inflammatory metabolites formation from EPA,1,4,-0.25,0.240063860179817,0.418620284009747,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Butanoate metabolism,3,16,-0.188,0.240147886732207,0.598605159230317,MISAME,14-21 days,BEP/BEP,Downregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,16,78,0.205,0.240399966389379,0.610732991625354,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
C21-steroid hormone biosynthesis and metabolism,9,37,-0.243,0.24048399294177,0.808503487101924,MISAME,14-21 days,BEP/IFA,Downregulated,Negative
De novo fatty acid biosynthesis,8,32,0.25,0.240652046046551,0.714126035920374,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Squalene and cholesterol biosynthesis,2,12,0.167,0.240652046046551,0.401058734560121,ELICIT,1 mo.,Nico+Az.,Upregulated,Positive
Vitamin B9 (folate) metabolism,3,13,-0.231,0.240652046046551,0.715939836988488,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Porphyrin metabolism,2,10,-0.2,0.240736072598941,0.543819847071675,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Tryptophan metabolism,10,51,-0.196,0.240820099151332,0.719439542895555,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Hyaluronan Metabolism,1,3,-0.333,0.241072178808503,0.545668431224267,ELICIT,1 mo.,Nico,Downregulated,Positive
Glycosphingolipid biosynthesis - lactoseries,1,3,-0.333,0.241072178808503,0.545668431224267,ELICIT,1 mo.,Nico,Downregulated,Positive
Blood Group Biosynthesis,1,3,-0.333,0.241072178808503,0.545668431224267,ELICIT,1 mo.,Nico,Downregulated,Positive
Glycosphingolipid biosynthesis - neolactoseries,1,3,-0.333,0.241072178808503,0.545668431224267,ELICIT,1 mo.,Nico,Downregulated,Positive
Keratan sulfate biosynthesis,1,3,-0.333,0.241072178808503,0.545668431224267,ELICIT,1 mo.,Nico,Downregulated,Positive
O-Glycan biosynthesis,1,3,-0.333,0.241072178808503,0.545668431224267,ELICIT,1 mo.,Nico,Downregulated,Positive
Biopterin metabolism,1,2,-0.5,0.241156205360894,0.749936980085707,ELICIT,1 mo.,Nico,Downregulated,Negative
Dynorphin metabolism,1,2,-0.5,0.241156205360894,0.749936980085707,ELICIT,1 mo.,Nico,Downregulated,Negative
Vitamin B2 (riboflavin) metabolism,2,7,0.286,0.241240231913285,0.695739853793799,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Negative
Vitamin H (biotin) metabolism,2,7,0.286,0.241240231913285,0.695739853793799,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Negative
Mono-unsaturated fatty acid beta-oxidation,2,7,0.286,0.241240231913285,0.695739853793799,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Negative
Ascorbate (Vitamin C) and Aldarate Metabolism,9,46,-0.196,0.241408285018066,0.74439122762793,ELICIT,5 mo.,Az.,Downregulated,Negative
Arginine and Proline Metabolism,6,22,-0.273,0.241576338122847,0.674901268800941,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Histidine metabolism,7,34,-0.206,0.241660364675237,0.719439542895555,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Butanoate metabolism,15,80,-0.188,0.241828417780018,0.719439542895555,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Galactose metabolism,12,49,0.245,0.241912444332409,0.749012688009411,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Negative
Vitamin B1 (thiamin) metabolism,1,6,-0.167,0.2419964708848,0.542979581547769,ELICIT,1 mo.,Az.,Downregulated,Positive
Vitamin B5 - CoA biosynthesis from pantothenate,1,6,-0.167,0.2419964708848,0.542979581547769,ELICIT,1 mo.,Az.,Downregulated,Positive
Omega-3 fatty acid metabolism,1,6,-0.167,0.2419964708848,0.542979581547769,ELICIT,1 mo.,Az.,Downregulated,Positive
"Fatty acid oxidation, peroxisome",1,6,-0.167,0.2419964708848,0.542979581547769,ELICIT,1 mo.,Az.,Downregulated,Positive
Omega-6 fatty acid metabolism,1,6,-0.167,0.2419964708848,0.542979581547769,ELICIT,1 mo.,Az.,Downregulated,Positive
Arachidonic acid metabolism,8,41,-0.195,0.242416603646752,0.772708175783548,MISAME,14-21 days,BEP/BEP,Downregulated,Negative
Galactose metabolism,10,53,-0.189,0.242836736408705,0.772708175783548,MISAME,14-21 days,BEP/BEP,Downregulated,Negative
Aminosugars metabolism,4,21,-0.19,0.242920762961096,0.545668431224267,ELICIT,1 mo.,Nico,Downregulated,Positive
Leukotriene metabolism,6,23,0.261,0.242920762961096,0.762204856734728,ELICIT,1 mo.,Nico+Az.,Upregulated,Negative
Parathio degradation,1,2,0.5,0.242920762961096,0.704142509032854,Mumta-LW,1.5 mo.,BEP,Upregulated,Negative
Tryptophan metabolism,6,23,0.261,0.243340895723048,0.449458028737081,Mumta-LW,1.5 mo.,BEP+ExBf,Upregulated,Positive
"Valine, leucine and isoleucine degradation",3,14,-0.214,0.24359297538022,0.61423409797496,MISAME,14-21 days,BEP/IFA,Downregulated,Positive
Lysine metabolism,3,13,0.231,0.243761028485001,0.631039408453071,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Glycosphingolipid biosynthesis - globoseries,1,5,0.2,0.244517267456516,0.42660280648685,MISAME,1-2 mo.,BEP/IFA,Upregulated,Positive
Propanoate metabolism,1,5,0.2,0.244517267456516,0.42660280648685,MISAME,1-2 mo.,BEP/IFA,Upregulated,Positive
CoA Catabolism,1,5,0.2,0.244517267456516,0.42660280648685,MISAME,1-2 mo.,BEP/IFA,Upregulated,Positive
Glutathione Metabolism,1,5,0.2,0.244517267456516,0.42660280648685,MISAME,1-2 mo.,BEP/IFA,Upregulated,Positive
Tryptophan metabolism,8,32,0.25,0.24502142677086,0.762204856734728,ELICIT,1 mo.,Nico+Az.,Upregulated,Negative
Glycerophospholipid metabolism,6,28,0.214,0.245189479875641,0.53256028905134,ELICIT,1 mo.,Az.,Upregulated,Positive
Omega-3 fatty acid metabolism,2,8,0.25,0.245441559532812,0.590958742962776,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
TCA cycle,2,8,0.25,0.245441559532812,0.590958742962776,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Fructose and mannose metabolism,1,5,0.2,0.245441559532812,0.535837324594572,ELICIT,5 mo.,Nico+Az.,Upregulated,Positive
N-Glycan Degradation,1,5,0.2,0.245441559532812,0.535837324594572,ELICIT,5 mo.,Nico+Az.,Upregulated,Positive
Phosphatidylinositol phosphate metabolism,7,40,-0.175,0.245609612637593,0.735820519284094,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Negative
Prostaglandin formation from arachidonate,10,41,0.244,0.245945718847156,0.762204856734728,ELICIT,1 mo.,Nico+Az.,Upregulated,Negative
Drug metabolism - cytochrome P450,1,4,0.25,0.246113771951937,0.560120998235442,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
Proteoglycan biosynthesis,1,4,0.25,0.246113771951937,0.560120998235442,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
Pentose and Glucuronate Interconversions,1,4,0.25,0.246113771951937,0.560120998235442,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
Carnitine shuttle,5,18,-0.278,0.246197798504327,0.674901268800941,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Sialic acid metabolism,6,50,-0.12,0.246365851609108,0.653222418284178,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Negative
Keratan sulfate degradation,3,11,-0.273,0.24661793126628,0.672884631543568,MISAME,1-2 mo.,BEP/IFA,Downregulated,Positive
Glycosphingolipid metabolism,11,43,-0.256,0.246870010923452,0.761700697420385,ELICIT,1 mo.,Az.,Downregulated,Negative
Vitamin B2 (riboflavin) metabolism,3,11,0.273,0.247290143685405,0.610732991625354,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Squalene and cholesterol biosynthesis,6,26,0.231,0.247794302999748,0.610732991625354,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Phosphatidylinositol phosphate metabolism,2,16,-0.125,0.247878329552138,0.542979581547769,ELICIT,1 mo.,Az.,Downregulated,Positive
Aspartate and asparagine metabolism,20,100,0.2,0.248634568523653,0.610732991625354,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Glycosphingolipid metabolism,10,41,0.244,0.248970674733216,0.738173262751029,ELICIT,5 mo.,Nico,Upregulated,Negative
Glycosphingolipid biosynthesis - globoseries,7,32,0.219,0.249054701285606,0.738761448617763,MISAME,1-2 mo.,IFA/BEP,Upregulated,Negative
Pyrimidine metabolism,14,78,0.179,0.249138727837997,0.747584236618772,ELICIT,5 mo.,Az.,Upregulated,Negative
Vitamin E metabolism,4,14,-0.286,0.249222754390387,0.674901268800941,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
N-Glycan Degradation,2,8,-0.25,0.249726913704731,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Drug metabolism - other enzymes,2,8,-0.25,0.249726913704731,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Omega-6 fatty acid metabolism,2,8,-0.25,0.249726913704731,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Aspartate and asparagine metabolism,3,30,0.1,0.249810940257121,0.410721788085035,ELICIT,1 mo.,Nico,Upregulated,Positive
Porphyrin metabolism,1,9,0.111,0.249894966809512,0.294345013024116,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Positive
R Group Synthesis,1,2,0.5,0.249978993361902,0.738761448617763,MISAME,1-2 mo.,IFA/BEP,Upregulated,Negative
Benzoate degradation via CoA ligation,1,2,0.5,0.249978993361902,0.738761448617763,MISAME,1-2 mo.,IFA/BEP,Upregulated,Negative
Pentose and Glucuronate Interconversions,5,16,0.312,0.249978993361902,0.763297201915805,ELICIT,1 mo.,Nico,Upregulated,Negative
Glycerophospholipid metabolism,28,126,-0.222,0.250063019914293,0.822115788589194,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Prostaglandin formation from arachidonate,3,16,0.188,0.250063019914293,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Glutamate metabolism,2,8,-0.25,0.250147046466683,0.546004537433829,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Beta-Alanine metabolism,2,8,-0.25,0.250147046466683,0.546004537433829,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
"Glycine, serine, alanine and threonine metabolism",5,23,0.217,0.250483152676246,0.53256028905134,ELICIT,1 mo.,Az.,Upregulated,Positive
Phytanic acid peroxisomal oxidation,6,21,-0.286,0.250567179228636,0.811276363330813,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
Bile acid biosynthesis,2,9,-0.222,0.250651205781027,0.489958826989329,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Positive
N-Glycan Degradation,2,9,-0.222,0.250651205781027,0.489958826989329,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Positive
Beta-Alanine metabolism,2,10,0.2,0.250987311990589,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
N-Glycan Degradation,4,18,-0.222,0.251239391647761,0.772708175783548,MISAME,14-21 days,BEP/BEP,Downregulated,Negative
Beta-Alanine metabolism,10,43,-0.233,0.251239391647761,0.746743971094866,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
Vitamin D3 (cholecalciferol) metabolism,1,3,-0.333,0.251239391647761,0.546004537433829,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Di-unsaturated fatty acid beta-oxidation,1,3,-0.333,0.251239391647761,0.546004537433829,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Drug metabolism - cytochrome P450,1,3,-0.333,0.251239391647761,0.546004537433829,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
D4&E4-neuroprostanes formation,1,3,-0.333,0.251239391647761,0.546004537433829,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Heparan sulfate degradation,1,3,-0.333,0.251239391647761,0.546004537433829,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation,1,3,-0.333,0.251239391647761,0.546004537433829,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Nucleotide Sugar Metabolism,1,3,-0.333,0.251239391647761,0.546004537433829,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Nitrogen metabolism,1,3,-0.333,0.251239391647761,0.546004537433829,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Tyrosine metabolism,6,33,0.182,0.251407444752542,0.520796571716662,MISAME,14-21 days,BEP/BEP,Upregulated,Positive
Vitamin A (retinol) metabolism,3,17,-0.176,0.251491471304932,0.543819847071675,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Fatty acid activation,3,17,-0.176,0.251491471304932,0.543819847071675,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Glyoxylate and Dicarboxylate Metabolism,7,34,0.206,0.251491471304932,0.695739853793799,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Negative
Glycosphingolipid biosynthesis - ganglioseries,1,3,-0.333,0.251659524409713,0.613477859003445,ELICIT,5 mo.,Nico,Downregulated,Positive
C5-Branched dibasic acid metabolism,1,3,-0.333,0.251659524409713,0.613477859003445,ELICIT,5 mo.,Nico,Downregulated,Positive
Pyruvate Metabolism,1,3,-0.333,0.251659524409713,0.613477859003445,ELICIT,5 mo.,Nico,Downregulated,Positive
CoA Catabolism,1,3,-0.333,0.251659524409713,0.613477859003445,ELICIT,5 mo.,Nico,Downregulated,Positive
Trihydroxycoprostanoyl-CoA beta-oxidation,1,3,-0.333,0.251659524409713,0.613477859003445,ELICIT,5 mo.,Nico,Downregulated,Positive
C5-Branched dibasic acid metabolism,1,2,-0.5,0.251827577514495,0.674901268800941,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Nucleotide Sugar Metabolism,1,2,-0.5,0.251827577514495,0.674901268800941,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Omega-6 fatty acid metabolism,5,17,-0.294,0.252247710276447,0.811276363330813,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
Methionine and cysteine metabolism,12,64,-0.188,0.252415763381228,0.74439122762793,ELICIT,5 mo.,Az.,Downregulated,Negative
Prostaglandin formation from arachidonate,10,48,0.208,0.25258381648601,0.787496849004285,MISAME,14-21 days,IFA/BEP,Upregulated,Negative
Porphyrin metabolism,5,24,-0.208,0.25258381648601,0.74439122762793,ELICIT,5 mo.,Az.,Downregulated,Negative
Hyaluronan Metabolism,1,3,-0.333,0.25258381648601,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Glycosphingolipid biosynthesis - ganglioseries,1,3,-0.333,0.25258381648601,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Vitamin B2 (riboflavin) metabolism,1,3,-0.333,0.25258381648601,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Glutathione Metabolism,1,3,-0.333,0.25258381648601,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Vitamin E metabolism,3,11,-0.273,0.2526678430384,0.545500378119486,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Androgen and estrogen biosynthesis and metabolism,5,19,-0.263,0.253256028905134,0.840181497353164,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Starch and Sucrose Metabolism,7,28,0.25,0.253340055457525,0.714126035920374,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Purine metabolism,6,30,0.2,0.253424082009915,0.631039408453071,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Galactose metabolism,10,42,0.238,0.253592135114696,0.7927064952525,MISAME,3-4 mo.,IFA/BEP,Upregulated,Negative
Glycolysis and Gluconeogenesis,16,86,0.186,0.25409629442904,0.771783883707252,ELICIT,1 mo.,Az.,Upregulated,Negative
Putative anti-Inflammatory metabolites formation from EPA,1,4,0.25,0.25409629442904,0.371397361566255,Mumta-LW,1.5 mo.,BEP,Upregulated,Positive
Nitrogen metabolism,1,4,0.25,0.25409629442904,0.371397361566255,Mumta-LW,1.5 mo.,BEP,Upregulated,Positive
Prostaglandin formation from arachidonate,6,34,-0.176,0.25418032098143,0.735820519284094,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Negative
C21-steroid hormone biosynthesis and metabolism,3,13,-0.231,0.254264347533821,0.530375598689186,MISAME,3-4 mo.,BEP/BEP,Downregulated,Positive
Pyrimidine metabolism,3,20,0.15,0.254432400638602,0.401058734560121,ELICIT,1 mo.,Nico+Az.,Upregulated,Positive
Glycosphingolipid biosynthesis - ganglioseries,6,27,0.222,0.254684480295773,0.787496849004285,MISAME,14-21 days,IFA/BEP,Upregulated,Negative
TCA cycle,12,64,0.188,0.255104613057726,0.76102848500126,MISAME,1-2 mo.,BEP/BEP,Upregulated,Negative
Vitamin B5 - CoA biosynthesis from pantothenate,1,4,0.25,0.255104613057726,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis,1,4,0.25,0.255104613057726,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
D4&E4-neuroprostanes formation,1,4,0.25,0.255104613057726,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Histidine metabolism,3,13,-0.231,0.255188639610117,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
Porphyrin metabolism,3,13,-0.231,0.255188639610117,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
Ubiquinone Biosynthesis,2,6,-0.333,0.255272666162507,0.625409629442904,MISAME,1-2 mo.,BEP/BEP,Downregulated,Positive
Sialic acid metabolism,3,14,0.214,0.25560877237207,0.590958742962776,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Alanine and Aspartate Metabolism,12,59,0.203,0.25569279892446,0.787496849004285,MISAME,14-21 days,IFA/BEP,Upregulated,Negative
Pyrimidine metabolism,20,103,0.194,0.255944878581632,0.738761448617763,MISAME,1-2 mo.,IFA/BEP,Upregulated,Negative
Glycerophospholipid metabolism,23,104,0.221,0.255944878581632,0.7927064952525,MISAME,3-4 mo.,IFA/BEP,Upregulated,Negative
Aspartate and asparagine metabolism,18,92,0.196,0.256028905134022,0.738761448617763,MISAME,1-2 mo.,IFA/BEP,Upregulated,Negative
Glycosphingolipid biosynthesis - ganglioseries,2,6,-0.333,0.256112931686413,0.674901268800941,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Putative anti-Inflammatory metabolites formation from EPA,2,6,-0.333,0.256112931686413,0.674901268800941,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Glutathione Metabolism,2,6,-0.333,0.256112931686413,0.674901268800941,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Glutamate metabolism,2,6,-0.333,0.256112931686413,0.674901268800941,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Ubiquinone Biosynthesis,2,6,-0.333,0.256112931686413,0.674901268800941,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Pentose phosphate pathway,2,6,-0.333,0.256112931686413,0.674901268800941,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Drug metabolism - other enzymes,1,3,-0.333,0.256280984791194,0.735820519284094,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Negative
Squalene and cholesterol biosynthesis,5,19,0.263,0.256533064448366,0.7927064952525,MISAME,3-4 mo.,IFA/BEP,Upregulated,Negative
Porphyrin metabolism,6,25,0.24,0.256953197210318,0.704142509032854,Mumta-LW,1.5 mo.,BEP,Upregulated,Negative
Fatty acid oxidation,1,4,-0.25,0.257037223762709,0.543819847071675,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Glutathione Metabolism,1,4,-0.25,0.257037223762709,0.543819847071675,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Glutamate metabolism,1,4,-0.25,0.257037223762709,0.543819847071675,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Omega-6 fatty acid metabolism,1,4,-0.25,0.257037223762709,0.543819847071675,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Galactose metabolism,9,37,0.243,0.257037223762709,0.762204856734728,ELICIT,1 mo.,Nico+Az.,Upregulated,Negative
TCA cycle,9,47,-0.191,0.257037223762709,0.74439122762793,ELICIT,5 mo.,Az.,Downregulated,Negative
Sialic acid metabolism,13,63,0.206,0.2571212503151,0.610732991625354,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Pyruvate Metabolism,16,56,0.286,0.257373329972271,0.780942777917822,Mumta-LW,1.5 mo.,BEP+ExBf,Upregulated,Negative
Squalene and cholesterol biosynthesis,1,10,0.1,0.257457356524662,0.294345013024116,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Positive
Galactose metabolism,1,10,0.1,0.257457356524662,0.294345013024116,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Positive
Prostaglandin formation from arachidonate,1,10,0.1,0.257457356524662,0.294345013024116,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Positive
Alkaloid biosynthesis II,3,10,0.3,0.257541383077052,0.714126035920374,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Androgen and estrogen biosynthesis and metabolism,3,11,0.273,0.257541383077052,0.704142509032854,Mumta-LW,1.5 mo.,BEP,Upregulated,Negative
Sialic acid metabolism,15,58,-0.259,0.257793462734224,0.821947735484413,MISAME,14-21 days,IFA/BEP,Downregulated,Negative
Vitamin E metabolism,2,10,-0.2,0.257877489286615,0.598605159230317,MISAME,14-21 days,BEP/BEP,Downregulated,Positive
Alanine and Aspartate Metabolism,2,10,-0.2,0.257877489286615,0.598605159230317,MISAME,14-21 days,BEP/BEP,Downregulated,Positive
Glycosphingolipid biosynthesis - ganglioseries,4,19,0.211,0.257961515839005,0.7322073775313,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
Leukotriene metabolism,5,19,0.263,0.258045542391396,0.714126035920374,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Bile acid biosynthesis,9,38,-0.237,0.258297622048567,0.808503487101924,MISAME,14-21 days,BEP/IFA,Downregulated,Negative
Propanoate metabolism,10,51,0.196,0.258297622048567,0.695739853793799,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Negative
Galactose metabolism,11,40,0.275,0.25863372825813,0.763297201915805,ELICIT,1 mo.,Nico,Upregulated,Negative
Saturated fatty acids beta-oxidation,2,8,0.25,0.259137887572473,0.631039408453071,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Phytanic acid peroxisomal oxidation,2,8,0.25,0.259137887572473,0.631039408453071,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
De novo fatty acid biosynthesis,9,42,0.214,0.259221914124863,0.610732991625354,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Phytanic acid peroxisomal oxidation,2,14,-0.143,0.259389967229645,0.653222418284178,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Negative
Ascorbate (Vitamin C) and Aldarate Metabolism,2,8,-0.25,0.259473993782035,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
Glutathione Metabolism,2,8,-0.25,0.259473993782035,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
Pyrimidine metabolism,3,17,-0.176,0.259473993782035,0.418620284009747,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Aminosugars metabolism,4,24,-0.167,0.259726073439207,0.543819847071675,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Urea cycle/amino group metabolism,6,29,-0.207,0.259726073439207,0.546004537433829,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
D4&E4-neuroprostanes formation,1,2,-0.5,0.26014620620116,0.63532476262499,MISAME,1-2 mo.,IFA/BEP,Downregulated,Positive
Polyunsaturated fatty acid biosynthesis,1,2,-0.5,0.26014620620116,0.63532476262499,MISAME,1-2 mo.,IFA/BEP,Downregulated,Positive
TCA cycle,1,2,-0.5,0.26014620620116,0.63532476262499,MISAME,1-2 mo.,IFA/BEP,Downregulated,Positive
3-oxo-10R-octadecatrienoate beta-oxidation,1,2,-0.5,0.26023023275355,0.625409629442904,MISAME,1-2 mo.,BEP/BEP,Downregulated,Positive
Heparan sulfate degradation,1,2,-0.5,0.26023023275355,0.625409629442904,MISAME,1-2 mo.,BEP/BEP,Downregulated,Positive
Sphingolipid metabolism,1,2,-0.5,0.26023023275355,0.625409629442904,MISAME,1-2 mo.,BEP/BEP,Downregulated,Positive
Nitrogen metabolism,1,2,-0.5,0.26023023275355,0.625409629442904,MISAME,1-2 mo.,BEP/BEP,Downregulated,Positive
TCA cycle,10,52,0.192,0.260314259305941,0.771783883707252,ELICIT,1 mo.,Az.,Upregulated,Negative
Lipoate metabolism,1,2,0.5,0.260398285858331,0.610732991625354,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Omega-3 fatty acid metabolism,6,20,-0.3,0.260398285858331,0.827241408285018,MISAME,3-4 mo.,BEP/IFA,Downregulated,Negative
Aspartate and asparagine metabolism,5,24,-0.208,0.260482312410722,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Proteoglycan biosynthesis,4,18,-0.222,0.260650365515503,0.756521792593777,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Pyruvate Metabolism,14,76,0.184,0.260650365515503,0.76102848500126,MISAME,1-2 mo.,BEP/BEP,Upregulated,Negative
Arginine and Proline Metabolism,4,16,-0.25,0.260650365515503,0.672884631543568,MISAME,1-2 mo.,BEP/IFA,Downregulated,Positive
Glycolysis and Gluconeogenesis,24,95,-0.253,0.260734392067893,0.827241408285018,MISAME,3-4 mo.,BEP/IFA,Downregulated,Negative
Glycerophospholipid metabolism,23,89,0.258,0.260734392067893,0.763297201915805,ELICIT,1 mo.,Nico,Upregulated,Negative
Propanoate metabolism,9,54,-0.167,0.260818418620284,0.735820519284094,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Negative
Xenobiotics metabolism,4,19,0.211,0.260902445172675,0.747584236618772,ELICIT,5 mo.,Az.,Upregulated,Negative
N-Glycan biosynthesis,2,12,0.167,0.261322577934627,0.560120998235442,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
Vitamin B5 - CoA biosynthesis from pantothenate,2,6,-0.333,0.26165868414419,0.746743971094866,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
CoA Catabolism,2,6,-0.333,0.26165868414419,0.746743971094866,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
Alanine and Aspartate Metabolism,12,58,0.207,0.26174271069658,0.610732991625354,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Porphyrin metabolism,2,9,-0.222,0.261826737248971,0.61423409797496,MISAME,14-21 days,BEP/IFA,Downregulated,Positive
Alanine and Aspartate Metabolism,2,12,0.167,0.261826737248971,0.451138559784892,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Positive
Galactose metabolism,4,21,0.19,0.261910763801361,0.498361482228384,MISAME,3-4 mo.,IFA/BEP,Upregulated,Positive
