,VarName,VARLABEL,VarCategory,AnalysisMethod,QUANTIFICATION,UNIT,DERIVATION,ProgrammingNotes,VARDESCRIPTION,VarSubCategory,AdditionalNotes,SecondName,DatabaseID,LOD,VarType
0.176388889,DG.14.0_14.0.,Diacylglyceride (14:0_14:0),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(14:0_14:0),"HMDB0007008; CAS-60562-16-5, CAS-53563-63-6, CAS-20255-94-1, CAS-7770-09-04",2.172; 1.999; 2.269,numeric
0.177083333,DG.14.0_18.1.,Diacylglyceride (14:0_18:1),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(14:0_18:1),HMDB0007015; CAS-215055-21-3,2.232; 1.776; 1.498,numeric
0.177777778,DG.14.0_18.2.,Diacylglyceride (14:0_18:2),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(14:0_18:2),HMDB0007016; NA,1.131; 1.04; 1.152,numeric
0.178472222,DG.14.0_20.0.,Diacylglyceride (14:0_20:0),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(14:0_20:0),HMDB0007020; NA,0.2153; 0.1234; 0.0751562,numeric
0.179166667,DG.14.1_18.1.,Diacylglyceride (14:1_18:1),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(14:1_18:1),HMDB0007044; NA,0.1051; 0.136; 0.078192,numeric
0.179861111,DG.14.1_20.2.,Diacylglyceride (14:1_20:2),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(14:1_20:2),HMDB0007051; NA,0.1274; 0.129; 0.0708627,numeric
0.180555556,DG.16.0_16.0.,Diacylglyceride (16:0_16:0),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(16:0_16:0),"HMDB0007098; CAS-30334-71-5, CAS-26657-95-4, CAS-40290-32-2, CAS-502-52-3",27.628; 18.427; 18.632,numeric
0.18125,DG.16.0_16.1.,Diacylglyceride (16:0_16:1),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(16:0_16:1),HMDB0007099; NA,0.5846; 0.3493; 0.2618,numeric
0.181944444,DG.16.0_18.1.,Diacylglyceride (16:0_18:1),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(16:0_18:1),"HMDB0007214, HMDB0007102, HMDB0007101; CAS-29541-66-0, CAS-3123-73-7, CAS-3343-30-4, CAS-3331-34-8,",1.027; 0.6826; 0.4566,numeric
0.182638889,DG.16.0_18.2.,Diacylglyceride (16:0_18:2),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(16:0_18:2),HMDB0007103; CAS-99032-71-0,0.5523; 0.296; 0.2047,numeric
0.183333333,DG.16.0_20.0.,Diacylglyceride (16:0_20:0),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(16:0_20:0),HMDB0007107; CAS-90669-23-1,1.515; 0.9632; 0.5199,numeric
0.184027778,DG.16.0_20.3.,Diacylglyceride (16:0_20:3),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(16:0_20:3),HMDB0007111; NA,0.1975; 0.1628; 0.1661,numeric
0.184722222,DG.16.0_20.4.,Diacylglyceride (16:0_20:4),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(16:0_20:4),HMDB0007112; NA,0.2529; 0.2145; 0.2363,numeric
0.185416667,DG.16.1_18.0.,Diacylglyceride (16:1_18:0),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(16:1_18:0),HMDB0007129; NA,0.1194; 0.1138; 0.0663509,numeric
0.186111111,DG.16.1_18.1.,Diacylglyceride (16:1_18:1),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(16:1_18:1),HMDB0007131; NA,1.718; 0.8793; 0.2588,numeric
0.186805556,DG.16.1_18.2.,Diacylglyceride (16:1_18:2),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(16:1_18:2),HMDB0007132; NA,0.3379; 0.1294; 0.118,numeric
0.1875,DG.16.1_20.0.,Diacylglyceride (16:1_20:0),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(16:1_20:0),HMDB0007136; NA,0.09666; 0.0942002; 0.0795795,numeric
0.188194444,DG.17.0_17.1.,Diacylglyceride (17:0_17:1),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(17:0_17:1),NA,0.1398; 0.1583; 0.116,numeric
0.188888889,DG.17.0_18.1.,Diacylglyceride (17:0_18:1),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(17:0_18:1),NA,0.5122; 0.4407; 0.319,numeric
0.189583333,DG.18.0_20.0.,Diacylglyceride (18:0_20:0),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:0_20:0),"HMDB0007165; CAS-27095-12-1, CAS-59891-28-0",0.04706; 0.045444; 0.0370061,numeric
0.190277778,DG.18.0_20.4.,Diacylglyceride (18:0_20:4),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:0_20:4),HMDB0007170; CAS-65914-84-3,0.1472; 0.1497; 0.0993806,numeric
0.190972222,DG.18.1_18.1.,Diacylglyceride (18:1_18:1),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:1_18:1),"HMDB0007218, HMDB0007188; CAS-24529-88-2, CAS-25637-84-7, CAS-2442-61-7, CAS-2465-32-9",0.7402; 0.157; 0.1819,numeric
0.191666667,DG.18.1_18.2.,Diacylglyceride (18:1_18:2),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:1_18:2),HMDB0007219; NA,1.072; 0.5782; 0.2304,numeric
0.192361111,DG.18.1_18.3.,Diacylglyceride (18:1_18:3),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:1_18:3),"HMDB0007221, HMDB0007276; NA",0.2343; 0.2847; 0.2329,numeric
0.193055556,DG.18.1_18.4.,Diacylglyceride (18:1_18:4),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:1_18:4),HMDB0007334; NA,0.2363; 0.2195; 0.2268,numeric
0.19375,DG.18.1_20.0.,Diacylglyceride (18:1_20:0),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:1_20:0),HMDB0007223; CAS-1427086-85-8,0.5602; 0.7911; 0.519,numeric
0.194444444,DG.18.1_20.1.,Diacylglyceride (18:1_20:1),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:1_20:1),HMDB0007224; NA,0.02072; 0.0285549; 0.0161068,numeric
0.195138889,DG.18.1_20.2.,Diacylglyceride (18:1_20:2),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:1_20:2),HMDB0007225; NA,0.2559; 0.2115; 0.2081,numeric
0.195833333,DG.18.1_20.3.,Diacylglyceride (18:1_20:3),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:1_20:3),HMDB0007227; NA,0.1607; 0.0645569; 0.0701528,numeric
0.196527778,DG.18.1_20.4.,Diacylglyceride (18:1_20:4),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:1_20:4),HMDB0007228; NA,0.3646; 0.249; 0.116,numeric
0.197222222,DG.18.1_22.5.,Diacylglyceride (18:1_22:5),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:1_22:5),HMDB0007236; NA,0.0108; 0.009752; 0.007968,numeric
0.197916667,DG.18.1_22.6.,Diacylglyceride (18:1_22:6),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:1_22:6),HMDB0007237; NA,0.244; 0.2008; 0.1852,numeric
0.198611111,DG.18.2_18.2.,Diacylglyceride (18:2_18:2),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:2_18:2),"HMDB0007248; CAS-30606-27-0, CAS-2442-62-8, CAS-15818-46-9",0.4958; 0.3666; 0.2539,numeric
0.199305556,DG.18.2_18.3.,Diacylglyceride (18:2_18:3),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:2_18:3),"HMDB0007250, HMDB0007277; CAS-12374-41-2",0.2601; 0.2727; 0.2425,numeric
0.2,DG.18.2_18.4.,Diacylglyceride (18:2_18:4),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:2_18:4),HMDB0007335; NA,0.2401; 0.2051; 0.2366,numeric
0.200694444,DG.18.2_20.0.,Diacylglyceride (18:2_20:0),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:2_20:0),HMDB0007252; NA,0.2711; 0.3145; 0.1864,numeric
0.201388889,DG.18.2_20.4.,Diacylglyceride (18:2_20:4),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:2_20:4),HMDB0007257; NA,0.2834; 0.2499; 0.1476,numeric
0.202083333,DG.18.3_18.3.,Diacylglyceride (18:3_18:3),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:3_18:3),"HMDB0007279, HMDB0007278, HMDB0007308, HMDB0007307; CAS-195711-48-9, CAS-98242-77-4, CAS-372516-95-5, CAS-123072-31-1",0.2151; 0.3397; 0.2767,numeric
0.202777778,DG.18.3_20.2.,Diacylglyceride (18:3_20:2),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(18:3_20:2),HMDB0007312; NA,0.09459; 0.0634646; 0.0988601,numeric
0.203472222,DG.21.0_22.6.,Diacylglyceride (21:0_22:6),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(21:0_22:6),NA,0.5712; 0.7844; 0.5571,numeric
0.204166667,DG.22.1_22.2.,Diacylglyceride (22:1_22:2),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Diglycerides,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DG(22:1_22:2),HMDB0007639; NA,0.118; 0.1175; 0.0926212,numeric
0.204861111,DHA,Docosahexaenoic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Fatty Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DHA,HMDB0002183; CAS-6217-54-5,0.0785; 0.053711; 0.02,numeric
0.205555556,DHEAS,Dehydroepiandrosterone sulfate,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Hormones and Related,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DHEAS,HMDB01032; CAS-651-48-9,0.1; 0.1; 0.1,numeric
0.20625,DiCA.12.0.,Dodecanedioic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Carboxylic Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DiCA(12:0),HMDB0000623; CAS-693-23-2,0.2539; 0.1758; 0.1029,numeric
0.206944444,DiCA.14.0.,Tetradecanedioic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Carboxylic Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DiCA(14:0),HMDB0000872; CAS-821-38-5,0.314; 0.3827; 0.2788,numeric
0.207638889,DOPA,Dihydroxyphenylalanine,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acid Related,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',DOPA,"HMDB00181, HMDB00609; CAS-59-92-7, CAS-5796-17-8, CAS-63-84-3",0.306; 0.1389; 0.2,numeric
0.208333333,Dopamine,Dopamine,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Biogenic Amines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',Dopamine,HMDB00073; CAS-51-61-6,0.7; 0.7; 0.7,numeric
0.209027778,EPA,Eicosapentaenoic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Fatty Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',EPA,HMDB0001999; CAS-10417-94-4,0.2104; 0.0722323; 0.07,numeric
0.209722222,FA.12.0.,Dodecanoic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Fatty Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',FA(12:0),HMDB0000638; CAS-143-07-7,9.46305; 15.0421286; 6.385,numeric
0.210416667,FA.14.0.,Myristic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Fatty Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',FA(14:0),HMDB0000806; CAS-544-63-8,7493.949; 270.367672; 736.749,numeric
0.211111111,FA.16.0.,Palmitic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Fatty Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',FA(16:0),HMDB0000220; CAS-57-10-3,793.388; 637.512; 484.211,numeric
0.211805556,FA.18.0.,Stearic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Fatty Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',FA(18:0),HMDB0000827; CAS-57-11-4,1140.873; 739.271; 437.5,numeric
0.2125,FA.18.1.,Octadecenoic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Fatty Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',FA(18:1),"HMDB0062242, HMDB0041480, HMDB0062218, HMDB0062703, HMDB0002080, HMDB0003231, HMDB0000573; CAS-112-79-8, CAS-693-72-1, CAS-593-39-5, CAS-2027-47-6, CAS-693-71-0, CAS-13126-39-1",34.848; 15.546; 13.182,numeric
0.213194444,FA.18.2.,Octadecadienoate,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Fatty Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',FA(18:2),"HMDB0062784, HMDB0005047, HMDB0062238, HMDB0005048, HMDB0029800, HMDB0006270, HMDB0003797, HMDB0000673; CAS-60-33-3, CAS-2540-56-9, CAS-506-21-8, CAS-18402-92-1, CAS-2420-56-6, CAS-28290-77-9, CAS-1839-11-8",23.159; 6.532; 2.239,numeric
0.213888889,FA.20.1.,Eicosenoic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Fatty Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',FA(20:1),"HMDB0034296, HMDB0002231; CAS-2462-94-4, CAS-5561-99-9",2.009; 1.265; 6.3,numeric
0.214583333,FA.20.2.,Eicosadienoic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Fatty Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',FA(20:2),HMDB0005060; CAS-2091-39-6,2.126; 1.118; 0.8,numeric
0.215277778,FA.20.3.,Eicosatrienoic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Fatty Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',FA(20:3),HMDB0002925; CAS-1783-84-2,2.526; 0.5463; 0.6,numeric
0.215972222,GABA,gamma-Aminobutyric acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Biogenic Amines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',GABA,HMDB0000112; CAS-56-12-2,0.07408; 0.0456401; 0.0424637,numeric
0.216666667,GCA,Glycocholic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Bile Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',GCA,HMDB00138; CAS-475-31-0,0.01038; 0.0049409; 0.005,numeric
0.217361111,GCDCA,Glycochenodeoxycholic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Bile Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',GCDCA,"HMDB00637, HMDB06898; CAS-640-79-9",0.01404; 0.002; 0.002,numeric
0.218055556,GDCA,Glycodeoxycholic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Bile Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',GDCA,HMDB00631; CAS-360-65-6,0.001; 0.001; 0.001,numeric
0.21875,GLCA,Glycolithocholic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Bile Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',GLCA,HMDB00698; CAS-474-74-8,0.00476; 0.0046245; 0.005,numeric
0.219444444,GLCAS,Glycolithocholic acid sulfate,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Bile Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',GLCAS,HMDB0002639; CAS-15324-64-8,0.00164; 0.0007758; 0.001,numeric
